%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
192.0, 61199.277484330836, 64517.3268934878, -29836.918990244747, -605.195832871894, 16664.365430398637, 7727.512148322124, 27541.81951782936, 4494.1758506507695, 37356.09052849896, 46237.24326339284, 36737.170724531505, 45712.58076579342, 23850.25010707976, 25804.619587018442, -5668.983539221709, -428.1476650414068, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828867924707E9, 0.0, 2024-02-02 15:08:06.792
194.0, 61176.76927766434, 64492.985843775976, -29847.893696772302, -617.0869609221174, 16657.59285182868, 7721.253659874637, 27529.771927567952, 4484.162269134792, 37352.223676708185, 46229.241338877844, 36721.278634223774, 45697.42628305272, 23842.605810476045, 25794.606005502465, -5681.478164372225, -442.31867102607146, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828867925115E9, 0.0, 2024-02-02 15:08:06.792
0.0, 30817.646481710257, 32411.45997184038, -14908.166516800704, -404.0748362630411, 8314.893640863138, 3791.6158189315584, 13716.058578021357, 2361.1265255363614, 18673.899015653016, 23108.44041209703, 18358.06886649953, 22844.75688275777, 11918.039550547546, 12893.782602999521, -2843.1418947150582, -224.3668108423723, -0.094, 0.98, 0.276, 192.0, 126.5, 8.0, 15.0, 80.0, 4.0, 80.0, 0.0, 0.0, 0.0, 1.7068828868717277E9, 0.0, 2024-02-02 15:08:06.871
2.0, 61611.175431153235, 64796.92486487924, -29827.53125757352, -824.3323355117245, 16618.209078098425, 7571.139344112796, 27417.074432024296, 4711.390103267444, 37520.17468454536, 46262.38897590506, 36771.95003890396, 45897.49674767217, 23673.224290993727, 25956.32087663661, -5824.1046457415405, -481.7247965007778, -0.094, 0.98, 0.276, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706882886878759E9, 0.0, 2024-02-02 15:08:06.878
4.0, 61582.296977316975, 64761.832626084404, -29829.699376785684, -824.5782047007328, 16618.052615887238, 7573.933312169709, 27417.074432024296, 4712.261821301201, 37500.70631512479, 46249.96140598791, 36749.97827410439, 45873.98271250519, 23659.880299553908, 25941.27815261819, -5840.667288382922, -495.49347108524694, -0.094, 0.98, 0.276, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828868850827E9, 0.0, 2024-02-02 15:08:06.885
6.0, 61561.35339276236, 64736.66456182773, -29832.515696587052, -821.091332565705, 16615.28099957478, 7575.07325113693, 27410.681833110077, 4712.0606556011035, 37494.31371621057, 46241.66890879499, 36749.955922359935, 45870.74170955917, 23659.321505942527, 25948.587173055075, -5836.711029614334, -488.13974715945096, -0.094, 0.98, 0.276, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70688288689278E9, 0.0, 2024-02-02 15:08:06.892
8.0, 61548.32232574491, 64726.38275937829, -29825.51960057254, -811.4800824499229, 16615.86214493062, 7576.54846627098, 27408.29019645336, 4716.128673091969, 37489.597498130504, 46239.99252796084, 36746.58080894718, 45869.60177059195, 23661.98136353271, 25950.978809711793, -5835.7275528582995, -480.0037121777192, -0.092, 0.986, 0.272, 192.0, 126.5, 16.0, 15.0, 104.0, 4.0, 64.0, 0.0, 0.0, 0.0, 1.706882886900781E9, 0.0, 2024-02-02 15:08:06.900
10.0, 61542.801444864446, 64716.14566041776, -29817.89765571328, -806.3615329696576, 16622.321799078203, 7579.431841305714, 27424.33874897227, 4724.6223359849855, 37488.3010969521, 46247.50271409783, 36750.13473631558, 45874.027415994104, 23662.40604667736, 25954.75625452474, -5832.374791190004, -477.8355929655544, -0.092, 0.986, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828869099076E9, 0.0, 2024-02-02 15:08:06.909
12.0, 61527.781072590486, 64700.07475615439, -29824.133792416313, -816.866852863652, 16618.00791239833, 7576.704928482167, 27416.89561806865, 4720.710780705307, 37486.244736462206, 46233.2646528798, 36752.30285552774, 45870.65230258135, 23664.21653797824, 25953.839833002072, -5827.546814387658, -479.42256682188116, -0.092, 0.986, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828869167778E9, 0.0, 2024-02-02 15:08:06.916
14.0, 61519.46622365311, 64690.79878220544, -29839.310626901464, -837.4304577625344, 16606.966150637407, 7565.529056254513, 27406.390298174658, 4711.434806756354, 37477.68401833582, 46229.08487666665, 36735.829619864184, 45852.703851783735, 23655.544061129578, 25941.99340844076, -5838.990907548775, -492.1183576724956, -0.092, 0.986, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828869249015E9, 0.0, 2024-02-02 15:08:06.924
