%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
90.0, 60966.90874897347, 64074.2706148947, -25267.440112524047, -1301.7208935881727, 16884.686575494597, 7953.689450465376, 28016.794087504637, 4693.173431536368, 35579.551527446696, 45542.19341781061, 36465.37351195497, 45489.2868386849, 23748.974352952762, 25358.903450835165, -5018.167795916534, 323.00505912364235, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706882853704085E9, 0.0, 2024-02-02 15:07:33.704
92.0, 60964.651222783476, 64066.29104212416, -25291.065906413307, -1294.3224661734662, 16873.980089900506, 7946.559243984133, 28015.520038070685, 4692.368768735978, 35568.46506219686, 45514.16433026366, 36498.31998328209, 45492.125510230726, 23781.116161479495, 25342.027883771407, -4998.431205562497, 335.8126086965333, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828537041173E9, 0.0, 2024-02-02 15:07:33.704
0.0, 30625.48853462798, 32251.935571662852, -14585.586140821713, -361.80768749805543, 8338.74295219695, 3911.287058745272, 13821.938791506147, 2285.5105740440576, 17777.772876950847, 22750.812500812113, 18229.7027980927, 22738.429634383876, 11839.942555420705, 12666.778286311423, -2507.038713340606, 158.58562691040362, -0.05, 0.496, 0.133, 192.0, 126.0, 112.0, 15.5, 0.0, 4.0, 40.0, 0.0, 0.0, 0.0, 1.7068828538030727E9, 0.0, 2024-02-02 15:07:33.803
2.0, 61250.77590355586, 64502.552390402845, -29174.837967734096, -727.3928198090578, 16676.033041004306, 7820.964791889763, 27635.965065475117, 4566.819020130518, 37252.110213292865, 46144.68468960341, 36725.346651714644, 45717.431094340216, 23907.4929246298, 25778.892729150382, -5510.755540222591, -287.7787098620784, -0.05, 0.496, 0.133, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828538098493E9, 0.0, 2024-02-02 15:07:33.809
4.0, 61244.919746508574, 64499.04316652336, -29175.016781689737, -726.5434535197561, 16680.659852106553, 7821.3224198010475, 27652.99709475006, 4572.697528922264, 37241.627245143325, 46131.83243654161, 36719.35638420062, 45708.400989580274, 23902.50848561627, 25772.857758147453, -5513.035418157032, -292.4949279421482, -0.05, 0.496, 0.133, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828538171692E9, 0.0, 2024-02-02 15:07:33.817
6.0, 61238.23657491644, 64492.76232633142, -29178.168377657938, -728.4880552873678, 16678.49173289439, 7817.410864521368, 27653.444129639167, 4569.277712020602, 37236.93337880771, 46133.8887970315, 36717.389430688556, 45709.183300636214, 23904.96717750635, 25775.607022715452, -5505.32406631995, -286.86228833941084, -0.05, 0.496, 0.133, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828538248234E9, 0.0, 2024-02-02 15:07:33.824
8.0, 61239.398865628114, 64495.64570136616, -29172.759255499754, -723.6377267405661, 16684.884331808607, 7822.574117490544, 27659.99319076457, 4574.396261500867, 37234.005300284065, 46130.2901661742, 36714.371945187086, 45705.115283145344, 23905.34715716209, 25771.583708713497, -5506.70987447618, -291.31028548601694, -0.098, 0.986, 0.272, 192.0, 126.0, 120.0, 15.0, 104.0, 4.0, 64.0, 0.0, 0.0, 0.0, 1.7068828538328683E9, 0.0, 2024-02-02 15:07:33.832
10.0, 61236.73900803793, 64494.796335076855, -29175.217947389836, -721.8719389285969, 16681.06218350675, 7823.155262846382, 27647.677379569697, 4571.33407251049, 37232.954768294665, 46126.55742485016, 36718.37290744459, 45708.289230858, 23910.465706642357, 25774.62354595942, -5505.3687698088615, -286.1023290279304, -0.098, 0.986, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828538421464E9, 0.0, 2024-02-02 15:07:33.842
12.0, 61230.368760868165, 64491.44357340856, -29185.67856379492, -728.4210000540019, 16677.038869504795, 7821.814158179064, 27653.444129639167, 4572.76458415563, 37225.9363205357, 46132.39123015299, 36709.27574745128, 45702.81305346645, 23905.503619373278, 25772.366019769433, -5513.907136190789, -286.3258464724835, -0.098, 0.986, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828538488824E9, 0.0, 2024-02-02 15:07:33.848
14.0, 61240.33763889523, 64498.43966942307, -29177.25195613527, -718.2956598157477, 16688.102983010172, 7836.186329863826, 27667.391618179277, 4585.482726750699, 37226.56216938045, 46130.401924896476, 36714.573110887184, 45706.299925601474, 23910.376299664535, 25778.11041809445, -5510.353208822395, -280.24617198063993, -0.098, 0.986, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706882853856915E9, 0.0, 2024-02-02 15:07:33.856
16.0, 61226.59131605522, 64486.83911405077, -29182.795188760185, -723.4365610404684, 16674.379011914614, 7825.770416947654, 27647.69973131415, 4568.875380620406, 37230.00433802656, 46140.4378581569, 36717.724706855384, 45709.250355869575, 23914.332558433125, 25785.53119725361, -5510.397912311306, -279.5085644136148, -0.098, 0.986, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828538649049E9, 0.0, 2024-02-02 15:07:33.864
18.0, 61222.612705542175, 64482.3687651597, -29180.023572447728, -720.7990551947422, 16672.747334569376, 7825.1445681029045, 27638.75903353203, 4564.248569518158, 37219.45431464366, 46132.637099342006, 36711.019183518794, 45698.499166786576, 23904.028404239227, 25773.95299362576, -5523.563089795482, -295.17713727678506, -0.1, 0.99, 0.268, 192.0, 126.0, 112.0, 15.0, 120.0, 4.0, 48.0, 0.0, 0.0, 0.0, 1.7068828538732276E9, 0.0, 2024-02-02 15:07:33.873
20.0, 61218.32117060676, 64476.24438717895, -29178.973040458328, -722.609546495622, 16670.847436290675, 7820.02601862264, 27638.2225916651, 4564.4944387071655, 37224.39405016828, 46127.94323300639, 36721.88213132407, 45707.48456805761, 23912.522067132246, 25778.91508089484, -5513.61656351287, -286.4823086836706, -0.1, 0.99, 0.268, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068828538819268E9, 0.0, 2024-02-02 15:07:33.881
