%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 59683.918617238836, 62997.207104826826, -31470.94326864997, -2564.750917524209, 17575.80251405269, 9049.260204942251, 28649.28140035646, 4315.160729308215, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068825804496615E9, 0.0, 2024-02-02 15:03:00.449
120.0, 59679.11299218095, 62991.57446522409, -31488.93642293649, -2581.268856676681, 17557.27291789924, 9060.950167292378, 28633.232847837553, 4300.140357034249, 34555.707520926895, 46001.745283811724, 35560.55254465968, 44038.12218166854, 24648.140328900856, 24280.364725633233, -2266.0422046234853, 48.19036104564203, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068825804496849E9, 0.0, 2024-02-02 15:03:00.449
0.0, 29927.19768609973, 31604.87492142617, -15755.364686890209, -1293.3389894174325, 8777.284178410075, 4504.278839144568, 14289.850209933546, 2153.0317846574526, 17290.214275147235, 23005.51062888034, 17790.736888734926, 22026.817146160265, 12337.470035251385, 12145.78147480267, -1127.623156025786, 30.308965481396378, -0.1, 0.986, 0.246, 192.0, 126.0, 112.0, 15.0, 104.0, 3.5, 88.0, 0.0, 0.0, 0.0, 1.7068825805608327E9, 0.0, 2024-02-02 15:03:00.560
2.0, 59855.44590418886, 63204.184258482965, -31515.222074415935, -2596.691560350843, 17551.50616782977, 9001.226306107797, 28574.93949829811, 4300.341522734347, 34681.36902825463, 46056.68587168287, 35692.76311311282, 44186.40365438505, 24534.34759787889, 24330.924371591136, -2326.727190819644, 51.23019829156379, -0.1, 0.986, 0.246, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068825805665803E9, 0.0, 2024-02-02 15:03:00.566
4.0, 59854.350668710555, 63209.54867715224, -31526.420298388042, -2598.4796999072673, 17559.932775489426, 9009.943486445367, 28589.065800793865, 4309.0363513274615, 34638.498382389356, 46060.59742696255, 35682.48131066338, 44185.95661949595, 24541.075472959936, 24336.15467979368, -2324.782589052032, 47.542160456438125, -0.1, 0.986, 0.246, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706882580575635E9, 0.0, 2024-02-02 15:03:00.575
6.0, 59856.2282152448, 63211.09094751966, -31518.306615150766, -2600.4466534193343, 17558.591670822105, 9009.272934111706, 28585.89185308121, 4314.71369441911, 34595.18070163497, 46062.54202873016, 35697.21111025943, 44192.39392189907, 24552.60897309887, 24322.475412187032, -2321.9662692506636, 51.386660502750935, -0.1, 0.986, 0.246, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068825805838675E9, 0.0, 2024-02-02 15:03:00.583
8.0, 59858.329279223595, 63209.302807963235, -31508.449495845976, -2603.8888220654517, 17556.959993476867, 9007.73066374429, 28584.282527480427, 4317.105331075827, 34516.21198847437, 46061.58090371858, 35691.86904333461, 44181.93330549399, 24511.168838878733, 24325.381138966222, -2329.4764553876466, 41.44013422013929, -0.108, 0.996, 0.248, 192.0, 126.0, 80.0, 15.5, 16.0, 3.5, 96.0, 0.0, 0.0, 0.0, 1.7068825805916464E9, 0.0, 2024-02-02 15:03:00.591
10.0, 59862.397296714465, 63212.856735331625, -31514.551522082274, -2583.660493333399, 17563.03966796871, 9012.111605657532, 28584.774265858447, 4321.598031711344, 34429.48721998778, 46058.96574961731, 35692.31607822372, 44192.55038411026, 24520.109536660857, 24339.328627506333, -2326.995411753108, 43.74236389903592, -0.108, 0.996, 0.248, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068825805996196E9, 0.0, 2024-02-02 15:03:00.599
12.0, 59847.26516571822, 63203.58076138268, -31520.340623896198, -2602.6371243759545, 17558.815188266657, 8994.9231141714, 28586.830626348335, 4313.506700218523, 34339.052061921604, 46076.51186901473, 35685.029409531286, 44193.22093644392, 24494.762658448537, 24337.406377483177, -2319.909908760775, 51.36430875829563, -0.108, 0.996, 0.248, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068825806066997E9, 0.0, 2024-02-02 15:03:00.606
14.0, 59854.127151266, 63212.78968009826, -31513.098658692677, -2589.6060573585105, 17561.13976969001, 9021.8793179845, 28591.904472339687, 4319.519319477001, 34281.49631994919, 46049.578016946085, 35685.43174093148, 44181.7768432828, 24511.347652834374, 24330.142060535203, -2325.2519756855936, 38.6014626743153, -0.108, 0.996, 0.248, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706882580615655E9, 0.0, 2024-02-02 15:03:00.615
