%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
184.0, -29529.51544875091, -32661.79950973982, -559.5982741830676, -12417.60103912366, 35767.50734657137, 3071.442612581565, 15542.911355842514, -9805.173850676281, 4370.324834623913, -7627.286926184527, 34537.55790442919, 20607.660187203906, 30975.829777220464, 20454.126054540404, 20979.593214940218, 22882.75484833179, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074736754342256E9, 0.0, 2024-02-09 11:14:35.434
186.0, -29603.455019409066, -32684.151254195127, -599.5408415247014, -12387.582646320183, 35336.3421960285, 3012.858690364205, 15315.907039154416, -9912.842203717495, 4228.368905588259, -7656.925339332264, 34415.45032446984, 20535.844032269008, 30992.213605906203, 20372.564539022987, 20921.1881066785, 22914.360214991597, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074736754343948E9, 0.0, 2024-02-09 11:14:35.434
0.0, -14525.661113937034, -16342.656772453402, -39.830808619357185, -6030.031267408284, 17959.872539028234, 1810.044265990766, 8128.278926405779, -4652.739125816718, 2056.36048988825, -3835.2240723638624, 17001.429736784667, 10252.40990548252, 15199.812078453551, 10113.76203462625, 10349.081200251723, 11324.131348625582, 0.048, 0.495, 0.092, 192.0, 1.5, 0.0, 15.0, 120.0, 2.5, 96.0, 0.0, 0.0, 0.0, 1.707473675510904E9, 0.0, 2024-02-09 11:14:35.510
2.0, -29059.70413204481, -32686.207614685016, -82.85791669582328, -12041.845863085493, 36063.42209141518, 3619.23916569223, 16311.766661616168, -9286.948655479986, 5153.574663826784, -7238.8583110402005, 34968.14190961622, 20885.760591716837, 31458.13571907708, 20869.309707797733, 21484.49677044115, 23196.796857928857, 0.048, 0.495, 0.092, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074736755179284E9, 0.0, 2024-02-09 11:14:35.517
4.0, -29117.23752227277, -32710.392202185656, -98.1018064143427, -12020.723464575227, 35631.98871993885, 3562.376327797929, 16094.463002021672, -9380.781278703365, 4929.409018684509, -7275.090488802253, 34633.178667208995, 20786.83177075765, 31213.473524269288, 20695.591949891084, 21309.236742167086, 23100.371432348664, 0.048, 0.495, 0.092, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707473675525943E9, 0.0, 2024-02-09 11:14:35.525
6.0, -29035.139564888428, -32689.98505949796, -52.8618756368012, -12060.218997027756, 35995.6963057156, 3629.4539129083055, 16262.302251136573, -9256.080896387208, 5016.402008104564, -7255.666822870591, 34621.354594392134, 20833.368102713597, 31062.263973029134, 20719.82124088064, 21294.417535593217, 23011.255027205352, 0.048, 0.495, 0.092, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707473675534912E9, 0.0, 2024-02-09 11:14:35.534
8.0, -29116.38815598347, -32728.98885357247, -94.16789939020866, -12044.349258464486, 35785.075817713245, 3567.383118555918, 16134.09264494093, -9350.13703705514, 5083.81486938177, -7253.856331569712, 34950.77460417445, 20842.97935282938, 31576.57761294575, 20835.044483547746, 21455.841834049446, 23237.29821888187, 0.074, 1.02, 0.18, 192.0, 1.0, 40.0, 15.5, 112.0, 2.5, 80.0, 0.0, 0.0, 0.0, 1.7074736755419695E9, 0.0, 2024-02-09 11:14:35.541
10.0, -29057.93834423284, -32693.09195197725, -49.35265175731799, -12040.549461907085, 35719.898130881564, 3603.2576684066858, 16129.868165238879, -9338.04474330482, 4876.547143047708, -7275.336357991262, 34415.49502795876, 20776.214692141377, 30876.230403927613, 20601.155829567415, 21171.37118236675, 22942.63517172756, 0.074, 1.02, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074736755499284E9, 0.0, 2024-02-09 11:14:35.549
12.0, -29054.496175586723, -32698.165797968602, -58.181590817164285, -12056.687421403816, 35997.26092782747, 3618.635668591937, 16237.581221769004, -9298.996245741397, 5153.9993469714345, -7216.215993906974, 34966.152604359704, 20892.399059820065, 31442.64596016955, 20867.007478118834, 21448.823386290478, 23176.50147396344, 0.074, 1.02, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074736755580018E9, 0.0, 2024-02-09 11:14:35.558
14.0, -29109.347356480048, -32713.119115009205, -74.61012299181498, -12026.512566389152, 35561.26780048225, 3569.439479045806, 16030.134681479298, -9415.918220987109, 4920.267155202288, -7270.754250377924, 34627.54602760625, 20783.54606432272, 31169.060608036594, 20699.347042959576, 21272.8704539383, 23092.525970044848, 0.074, 1.02, 0.18, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074736755663161E9, 0.0, 2024-02-09 11:14:35.566
