%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -8092.069100388182, -11846.91629969076, 22380.533502165497, 1499.2879628286319, 47370.856686932646, 21172.131141678234, 37755.00211179282, 12449.787551139301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707474806898082E9, 0.0, 2024-02-09 11:33:26.898
152.0, -8136.258499176324, -11873.939558737226, 22337.551097577943, 1506.3734658209642, 47408.3405623842, 21161.402304339685, 37765.730949131364, 12474.977967140434, 35525.013270975745, 9036.765579791734, 40063.512630881385, 29054.876155242462, 42253.93888401257, 37142.229037550576, 31399.037706737246, 24660.88082324038, 0.062, 0.504, 0.065, 192.0, 1.5, 112.0, 15.5, 64.0, 2.0, 8.0, 0.0, 0.0, 0.0, 1.7074748068981707E9, 0.0, 2024-02-09 11:33:26.898
0.0, -3773.5779611561256, -5899.318265833648, 11285.216961528893, 823.0359343333166, 23673.15723576036, 10628.43330245415, 18889.056907779803, 6235.577909419288, 17582.351575178098, 4462.056393868494, 19796.761250109823, 14465.825494030178, 20840.543012683753, 18428.678027233844, 15602.702272260462, 12225.80071995267, 0.092, 1.038, 0.134, 192.0, 1.0, 112.0, 16.0, 56.0, 2.0, 24.0, 0.0, 0.0, 0.0, 1.7074748069966044E9, 0.0, 2024-02-09 11:33:26.996
2.0, -7507.906259048732, -11772.105010998846, 22593.635033802395, 1649.692851268393, 47557.49375313446, 21304.252303153553, 37862.5363543673, 12545.095389496732, 35726.5813024737, 9576.023766520473, 40078.15302349962, 29124.412432242923, 42156.66409214307, 37199.24833765606, 31460.75087317835, 24607.460153992197, 0.092, 1.038, 0.134, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074748070026546E9, 0.0, 2024-02-09 11:33:27.002
4.0, -7637.144045489317, -11853.174788138245, 22507.670224627283, 1641.1991883753765, 47253.21945586437, 21218.57806665636, 37701.55909080018, 12404.726434317403, 35617.99652790982, 9529.241565375516, 40007.07447613174, 29075.953850263817, 42143.54361814781, 37156.24358132405, 31428.206733251423, 24600.598168444416, 0.092, 1.038, 0.134, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074748070096552E9, 0.0, 2024-02-09 11:33:27.009
6.0, -7517.7410266090665, -11763.65605159474, 22599.75941178315, 1638.5840342741055, 47487.465737755985, 21296.719765272115, 37818.61517651262, 12472.89925490609, 35533.819858291135, 9524.659457762178, 39830.652157145996, 29064.018018724684, 41843.29263487967, 37063.215620901065, 31361.53147954124, 24498.249530583566, 0.092, 1.038, 0.134, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074748070176568E9, 0.0, 2024-02-09 11:33:27.017
8.0, -7573.530980769513, -11793.227409509112, 22557.827539184993, 1655.1690286599433, 47471.23837128143, 21280.023012163998, 37823.30904284824, 12482.823429444246, 35795.55878586278, 9587.244342237038, 40204.70860060556, 29144.327836552602, 42350.20784738158, 37278.28410605003, 31527.18025769952, 24667.54164308806, 0.052000000000000005, 1.03, 0.138, 192.0, 0.5, 80.0, 16.0, 24.0, 2.0, 40.0, 0.0, 0.0, 0.0, 1.7074748070257168E9, 0.0, 2024-02-09 11:33:27.025
10.0, -7587.254951865072, -11798.770642134028, 22546.22698381269, 1642.7191069983373, 47308.09298850215, 21241.130976811764, 37753.169268747486, 12397.372710391606, 35488.60227925805, 9502.397120284691, 39797.77274105224, 29049.37762610646, 41856.39075713048, 37046.42946081513, 31360.078616151648, 24499.121248617324, 0.052000000000000005, 1.03, 0.138, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074748070339897E9, 0.0, 2024-02-09 11:33:27.033
12.0, -7515.014113785519, -11758.269281181012, 22583.599100541964, 1635.052458650167, 47604.007733345956, 21300.228989151597, 37890.92306982554, 12495.273351105852, 35752.46462255295, 9570.681699595654, 40096.54850918633, 29137.443499260367, 42177.518269719876, 37212.614680840335, 31486.813007213237, 24593.3562032409, 0.052000000000000005, 1.03, 0.138, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707474807041738E9, 0.0, 2024-02-09 11:33:27.041
14.0, -7624.828234294443, -11821.34590403389, 22493.70038434272, 1640.7745052307255, 47290.882145271564, 21199.57908386935, 37733.74560281582, 12348.578852245671, 35644.50569683382, 9529.643896775711, 40027.101639163695, 29085.296879446138, 42171.05861557229, 37163.463194783115, 31451.407843996032, 24579.52047342306, 0.052000000000000005, 1.03, 0.138, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707474807049669E9, 0.0, 2024-02-09 11:33:27.049
