%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -7035.949174874923, -13521.19606985999, 21964.656944830054, 1385.6293422733954, 47558.38782291268, 20896.355318588652, 37419.45772402975, 12376.876160726091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707474749201192E9, 0.0, 2024-02-09 11:32:29.201
242.0, -6963.484819350818, -13469.38472621259, 22019.284608278824, 1383.5059265501413, 47607.58401245881, 20937.080196986222, 37448.22441914373, 12391.78477427778, 35267.811747528525, 8036.033277038727, 39768.9389907049, 29161.002237916262, 41856.30135015266, 36929.70865126952, 31200.35305027402, 24700.84574232647, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074747492012787E9, 0.0, 2024-02-09 11:32:29.201
0.0, -3508.6874376162814, -6695.442699842775, 11054.055220372107, 725.3588110636248, 23767.6604113174, 10500.894248592169, 18750.18551947898, 6216.9142027991065, 17797.040080671322, 4050.449019724014, 20111.518515529457, 14627.160385508585, 21221.34968296882, 18591.041098957194, 15696.557247228295, 12447.977059838422, 0.092, 1.026, 0.11, 192.0, 1.0, 112.0, 16.0, 8.0, 1.5, 56.0, 0.0, 0.0, 0.0, 1.707474749246523E9, 0.0, 2024-02-09 11:32:29.246
2.0, -6901.883411631991, -13325.506547153778, 22158.33481053529, 1439.1394184994006, 47810.873128279825, 21065.245099692955, 37617.71769734832, 12519.927325240056, 35554.450518423386, 8272.313567675777, 39944.75781259034, 29191.40061037548, 42072.576829502206, 37087.73548456854, 31414.952148789427, 24744.56575448105, 0.092, 1.026, 0.11, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074747492545533E9, 0.0, 2024-02-09 11:32:29.254
4.0, -7032.328192273163, -13399.960207934406, 22074.336954872248, 1442.4027731898755, 47598.71036991005, 20988.958595866992, 37523.0580595801, 12439.930431834511, 35655.05572021672, 8261.20475068149, 40135.97698640549, 29195.155703443972, 42381.03090298545, 37175.08610189988, 31476.553556508254, 24825.993159531732, 0.092, 1.026, 0.11, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074747492625573E9, 0.0, 2024-02-09 11:32:29.262
6.0, -6956.444019847396, -13341.242175250314, 22121.968522306506, 1447.2083982477664, 47605.66176243565, 21022.463860805496, 37537.11730684248, 12444.736056892403, 35407.7560195632, 8220.949258917482, 39778.75140652077, 29135.923580637405, 41887.303219712165, 36992.87468110021, 31335.648159461995, 24680.68446882778, 0.092, 1.026, 0.11, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707474749270532E9, 0.0, 2024-02-09 11:32:29.270
8.0, -6935.701600992871, -13344.527881685244, 22119.55453390533, 1448.0577645370681, 47769.634159759786, 21045.754378527927, 37625.853732330055, 12513.981761214944, 35716.99240410238, 8295.40291969811, 40181.4851381165, 29234.271256240758, 42363.90946673268, 37217.88969253179, 31495.820760228726, 24833.480993924262, 0.11, 1.022, 0.084, 192.0, 1.5, 56.0, 15.5, 120.0, 1.0, 80.0, 0.0, 0.0, 0.0, 1.7074747492785404E9, 0.0, 2024-02-09 11:32:29.278
10.0, -7038.318459787186, -13401.904809702017, 22069.285460625346, 1460.217113520755, 47470.63487418114, 20972.373601481155, 37478.73455032522, 12390.26485565482, 35458.00274109873, 8212.634409980108, 39901.954221958425, 29140.729205695297, 42074.83435569219, 37051.123327150744, 31379.88226173905, 24752.925306907335, 0.11, 1.022, 0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707474749286849E9, 0.0, 2024-02-09 11:32:29.286
12.0, -6890.036987070678, -13315.738834826809, 22159.340639035778, 1465.3133112565652, 47768.36011032583, 21066.899128782647, 37634.05682254515, 12518.608572317193, 35556.79745159119, 8264.266939671867, 39954.14554526157, 29201.905930269473, 42050.627416447096, 37107.740295856034, 31402.815151550192, 24752.7911964406, 0.11, 1.022, 0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074747492936516E9, 0.0, 2024-02-09 11:32:29.293
14.0, -7018.090131055133, -13395.26634159879, 22095.14642896014, 1476.4891834842185, 47583.08650053579, 21008.136392609646, 37575.11527241651, 12478.286025319818, 35662.9682377539, 8265.429230383543, 40164.8330884973, 29222.134259001527, 42385.68006583215, 37207.227910426605, 31501.27458587582, 24871.233090309273, 0.11, 1.022, 0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074747493025627E9, 0.0, 2024-02-09 11:32:29.302
