%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -18501.343548458048, -7079.4903730738615, 12533.33837191324, -4236.303774869893, 44599.28507796348, 15294.3599574995, 31748.551934784882, 6063.178904435505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074741214360125E9, 0.0, 2024-02-09 11:22:01.436
40.0, -18436.769358726666, -6975.957092756879, 12584.546218460348, -4254.900426256708, 44984.495041906244, 15361.214025165324, 31945.22493424713, 6202.050292736327, 25757.300944006558, 4826.85921512356, 38617.53357857867, 26638.362006945852, 37917.94632887201, 31785.208795691586, 26652.42125420824, 24495.187341593188, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074741214360895E9, 0.0, 2024-02-09 11:22:01.436
0.0, -9261.445315056482, -3669.955273861322, 6447.852426511339, -1974.1507737816303, 22364.28378394649, 7753.887206779386, 16052.195853256686, 3305.241859584077, 12790.070508726896, 2371.207162285705, 19244.18142368572, 13277.852627975062, 18946.925574174595, 15839.898984420179, 13289.766107769741, 12239.815263726148, 0.053, 0.495, 0.11800000000000001, 192.0, 1.5, 40.0, 15.0, 120.0, 3.5, 48.0, 0.0, 0.0, 0.0, 1.7074741215281656E9, 0.0, 2024-02-09 11:22:01.528
2.0, -18453.779036257154, -7250.704735601514, 12957.529778186057, -3952.25780633185, 44819.6285748039, 15558.46816998341, 32179.895899283398, 6650.940376632259, 26092.53240734725, 4829.921404113938, 38355.16880216227, 26852.290553127594, 37969.735320774955, 31928.66229160575, 26479.1505311907, 24362.619145228764, 0.053, 0.495, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074741215341833E9, 0.0, 2024-02-09 11:22:01.534
4.0, -18438.333980838535, -7225.268450411374, 12957.462722952692, -3976.040062432297, 45102.53460437472, 15591.816972710727, 32299.410676885927, 6728.970316525736, 26406.59676868877, 4937.477998432875, 38798.49330168883, 26958.975429412774, 38495.157777685854, 32176.14080621491, 26707.13832463483, 24588.908206094293, 0.053, 0.495, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074741215411675E9, 0.0, 2024-02-09 11:22:01.541
6.0, -18516.453327709834, -7338.725905266512, 12899.303483879983, -3961.1761523695177, 44706.260526926584, 15509.920181026482, 32093.372296496906, 6589.428375891254, 26166.002591371845, 4834.52586347173, 38528.68539436882, 26854.235154895207, 38272.512051166545, 32012.816609479978, 26550.54200298095, 24480.88222514179, 0.053, 0.495, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074741215502996E9, 0.0, 2024-02-09 11:22:01.550
8.0, -18434.98121917024, -7223.837938766234, 12977.288720284549, -3983.6620072915566, 45070.079871425616, 15599.215400125433, 32310.273624691206, 6755.591244172007, 26214.885856495603, 4878.0000064373025, 38499.359905643454, 26893.08248675853, 38104.87396775174, 32024.52892357456, 26554.297096049442, 24410.138953940746, 0.1, 0.994, 0.256, 192.0, 1.5, 16.0, 15.5, 8.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.7074741215571868E9, 0.0, 2024-02-09 11:22:01.557
10.0, -18553.847796183563, -7371.9853010160095, 12901.27043739205, -3975.704786265467, 44894.12693907344, 15544.051294809735, 32168.474157866738, 6683.685682259284, 26350.002151727935, 4884.4596605848865, 38805.37763898107, 26903.788972352624, 38592.05258989961, 32165.926058998833, 26704.43376355574, 24624.15690710031, 0.1, 0.994, 0.256, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074741215651975E9, 0.0, 2024-02-09 11:22:01.565
12.0, -18567.77293297922, -7373.88519929471, 12937.256745965095, -3977.4035188440707, 44818.399228858856, 15571.789809678772, 32139.46159356375, 6676.331958333488, 26033.300284540688, 4783.094499480069, 38314.89095865381, 26802.133238569884, 37947.87531469767, 31913.999547243067, 26455.32357160134, 24348.53754622192, 0.1, 0.994, 0.256, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074741215742023E9, 0.0, 2024-02-09 11:22:01.574
14.0, -18606.486154375812, -7398.293304239906, 12948.544376915024, -3986.0536439482744, 45120.125427261046, 15623.578801581718, 32302.96460425432, 6807.1567186304, 26333.350102108732, 4866.354747576088, 38741.13872541651, 26889.685021601323, 38459.55144876855, 32161.94744848579, 26689.03341162603, 24579.319307722966, 0.1, 0.994, 0.256, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074741215812232E9, 0.0, 2024-02-09 11:22:01.581
