%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -15914.263238222986, -13039.180700681294, 16674.02138400333, -1975.9165615935997, 46545.786743853896, 17817.134298936642, 34524.191561244916, 9448.328250447305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074743574654794E9, 0.0, 2024-02-09 11:25:57.465
46.0, -15897.544133370417, -13047.227328685205, 16693.087422023706, -1994.6920269360576, 46811.303116238494, 17863.670630892593, 34645.76269933733, 9548.08408595134, 30753.31816116788, 6086.134145991105, 39300.312316454925, 29072.601088595522, 40256.78816518643, 34540.44127946392, 29168.937107197897, 24923.558524079148, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074743574655848E9, 0.0, 2024-02-09 11:25:57.465
0.0, -7014.424444964462, -7471.942302220143, 8526.296439921432, -857.0329376498387, 23424.516430439526, 9007.73066374429, 17416.859259231005, 4849.568587490152, 15237.430064371832, 2997.6595041345963, 19486.161409158874, 14475.570854612692, 19980.47023778799, 17168.799599266007, 14506.01393056082, 12399.607884837138, 0.116, 0.998, 0.164, 192.0, 1.5, 80.0, 15.5, 24.0, 2.5, 16.0, 0.0, 0.0, 0.0, 1.7074743575561554E9, 0.0, 2024-02-09 11:25:57.556
2.0, -14047.244375615643, -14937.514357270522, 17029.391769098256, -1706.5780409071494, 46575.64867444619, 17956.095094215285, 34679.044446831285, 9572.402783918713, 30802.42494373619, 6614.529384914564, 38888.347314399165, 28272.49804407335, 40148.538666789376, 34557.741529672334, 29187.06437195115, 24869.06497109711, 0.116, 0.998, 0.164, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707474357563069E9, 0.0, 2024-02-09 11:25:57.563
4.0, -13960.631365851328, -14907.115984811306, 17114.663674195253, -1711.3389624761298, 46914.59052736647, 18045.367961569784, 34886.178062698615, 9722.271230491548, 30884.00881099806, 6651.633280710374, 38925.76413461735, 28327.684501133503, 40074.844965320226, 34586.48587304186, 29195.155703443972, 24836.543182914636, 0.116, 0.998, 0.164, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074743575710983E9, 0.0, 2024-02-09 11:25:57.571
6.0, -14038.460140044706, -14930.026522877995, 17042.668705304706, -1697.5479361472055, 46713.20130982415, 17983.9453678066, 34766.05978799579, 9670.370479866324, 30998.56150133151, 6647.632318452874, 39158.51284963046, 28342.302542007274, 40476.52816492655, 34701.77617094233, 29311.876512989584, 24996.961652870377, 0.116, 0.998, 0.164, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074743575791028E9, 0.0, 2024-02-09 11:25:57.579
8.0, -13993.57783717845, -14909.731138912575, 17089.47325819412, -1699.6042966370937, 46701.86897538531, 17999.03279531393, 34777.59328813473, 9648.085790644383, 30729.491201578523, 6619.491472183642, 38750.77232727675, 28275.247308641352, 39918.29334715526, 34488.02643871623, 29125.038281087673, 24793.67253704936, 0.096, 1.002, 0.16, 192.0, 1.5, 0.0, 15.5, 40.0, 2.5, 0.0, 0.0, 0.0, 0.0, 1.7074743575871089E9, 0.0, 2024-02-09 11:25:57.587
10.0, -13989.308653987486, -14919.498851239545, 17088.780354116006, -1709.2378984973311, 46924.11237050443, 18032.068673618876, 34888.256774932954, 9737.939803354717, 31049.791699623074, 6666.4301355397865, 39172.92972480413, 28369.86224292067, 40433.50105685009, 34721.35629908518, 29328.997949242348, 24985.249338775797, 0.096, 1.002, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074743575953171E9, 0.0, 2024-02-09 11:25:57.595
12.0, -14044.383352325363, -14927.456072265635, 17025.591972540853, -1705.9745438068562, 46582.04127336041, 17953.681105814114, 34706.67120297804, 9603.7175779006, 30802.894330369752, 6609.947277301226, 38888.50377661035, 28275.537881319273, 40161.41327159563, 34554.34406451512, 29193.88165401002, 24876.798674678645, 0.096, 1.002, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707474357602098E9, 0.0, 2024-02-09 11:25:57.602
14.0, -13953.702325070182, -14894.37549047178, 17089.942644827683, -1728.4156952399846, 46902.185309193774, 18037.701313221613, 34865.413292099634, 9741.761951656576, 30884.768770309543, 6656.997699379647, 38911.59312863268, 28324.37644295412, 40079.47177642248, 34586.977611419876, 29196.988546489305, 24842.309932984106, 0.096, 1.002, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074743576113057E9, 0.0, 2024-02-09 11:25:57.611
