%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
8.0, -16469.458218748357, -9638.072209128406, 15720.026578906367, -2497.583925436011, 46482.48660355647, 17343.85846183997, 34121.770754071564, 8909.092415463021, 29847.46901362765, 7349.07476294932, 39389.83105299843, 28587.255309492986, 40112.15002681613, 34267.66059013135, 28476.413008739117, 24839.29244748264, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707474290044984E9, 0.0, 2024-02-09 11:24:50.044
0.0, -7711.664761503311, -5533.420209100272, 7958.00333714525, -1177.4004909277548, 23338.931600920154, 8702.159965295788, 17163.971622463658, 4623.145416157891, 14770.278605255915, 3654.5772736760705, 19451.829129675523, 14251.718133892791, 19738.53495580375, 17008.85051594383, 14129.208222533254, 12297.974502798856, 0.112, 1.02, 0.17, 192.0, 1.5, 64.0, 15.5, 112.0, 2.5, 40.0, 0.0, 0.0, 0.0, 1.707474290164402E9, 0.0, 2024-02-09 11:24:50.164
2.0, -15459.695811235406, -11092.567276068601, 15872.71134528057, -2346.977871296152, 46352.82413397123, 17339.075188526534, 34156.21479227719, 9115.555478996692, 29813.203789377665, 7472.076412686874, 39189.82764361234, 28667.654534298723, 39962.66155989904, 34169.55878371701, 28362.75438818388, 24804.75900229919, 0.112, 1.02, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074742901712964E9, 0.0, 2024-02-09 11:24:50.171
4.0, -15384.504542887753, -11039.012496353685, 15951.814168907902, -2363.6075691709007, 46629.22580590556, 17429.21977391479, 34290.9958113427, 9228.610602451636, 29818.210580135656, 7490.33778790686, 39096.978497145, 28688.95574676463, 39733.01973736522, 34140.27799848056, 28319.28024521831, 24718.056585557057, 0.112, 1.02, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074742901782992E9, 0.0, 2024-02-09 11:24:50.178
6.0, -15436.58410746862, -11073.344775837038, 15891.710328067582, -2357.9972813126187, 46529.000583767964, 17376.112029088978, 34260.21745922774, 9202.459061438925, 30011.2849487406, 7504.665256102712, 39440.681271634254, 28732.519296708026, 40236.55983645438, 34318.600215745, 28477.597651195247, 24918.417622854427, 0.112, 1.02, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074742901863148E9, 0.0, 2024-02-09 11:24:50.186
8.0, -15421.250810772279, -11056.871540173477, 15912.609209133294, -2361.171229025272, 46416.19132950203, 17368.847712141003, 34198.7725137201, 9139.874176964066, 29704.417849113688, 7443.935566417643, 38991.09828366021, 28644.028740409463, 39659.795422529634, 34074.60857327087, 28266.84305272616, 24682.047925239556, 0.126, 1.018, 0.16, 192.0, 1.5, 120.0, 15.5, 104.0, 2.5, 0.0, 0.0, 0.0, 0.0, 1.707474290194945E9, 0.0, 2024-02-09 11:24:50.194
10.0, -15427.732816664316, -11068.7626682237, 15928.121319785276, -2369.597836684923, 46695.49872821555, 17422.06721568909, 34318.95784365629, 9255.097419631174, 29997.27040496712, 7510.409654427726, 39375.70475050268, 28744.36572126934, 40089.32889572727, 34305.03270686063, 28435.19639196353, 24843.986313818255, 0.126, 1.018, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70747429020136E9, 0.0, 2024-02-09 11:24:50.201
12.0, -15528.807405091216, -11148.40193371796, 15864.776475998937, -2353.504580677102, 46336.909691919056, 17343.567889162052, 34139.830963591456, 9115.689589463424, 29799.70333572666, 7436.3806767917495, 39176.506003916984, 28651.270705612984, 39966.684873900995, 34194.79390320706, 28342.056672818268, 24792.398487615406, 0.126, 1.018, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074742902103963E9, 0.0, 2024-02-09 11:24:50.210
14.0, -15555.763608904315, -11183.315358557149, 15937.196128034131, -2362.2217610146718, 46630.455151850605, 17438.182823441366, 34308.36311678447, 9259.21014061095, 29749.83659384687, 7445.276671084961, 39049.8163163443, 28657.842118482844, 39729.59992046355, 34165.42371099278, 28310.69717534747, 24721.342291991987, 0.126, 1.018, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074742902173617E9, 0.0, 2024-02-09 11:24:50.217
16.0, -15707.688415967039, -11311.748482197343, 15854.293507849397, -2374.7610896540987, 46510.828615525796, 17374.502703488197, 34205.14276088986, 9185.516439141804, 29887.54569143602, 7430.7480371890115, 39358.42685203873, 28665.8663947423, 40215.23627224401, 34331.11719263997, 28449.814432837302, 24905.49831455926, 0.126, 1.018, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074742902263796E9, 0.0, 2024-02-09 11:24:50.226
